	nb_total_faux_a	nb_faux_a_court	nb_faux_a_long	tendance_a	nb_total_faux_A	nb_faux_A_court	nb_faux_A_long	tendance_A
26_11_07_nb1_1_16	2	2	0	court	2	1	1	egal
26_11_07_nb2_1_16	4	3	1	court	4	2	2	egal
26_11_07_nb1_2_16	4	1	3	long	3	3	0	court
26_11_07_nb2_2_16	1	0	1	long	0	0	0	null
26_11_07_nb3_1_16	2	2	0	court	3	2	1	court
26_11_07_nb3_2_16	1	1	0	court	4	0	4	long
27_11_07_nb1_1_16	2	1	1	egal	1	0	1	long
27_11_07_nb1_2_16	1	1	0	court	0	0	0	null
27_11_07_nb2_1_16	1	1	0	court	4	0	4	long
27_11_07_nb2_2_16	4	2	2	egal	1	0	1	long
28_11_07_nb1_1_16	0	0	0	null	8	4	4	egal
28_11_07_nb1_2_16	1	1	0	court	5	3	2	court
28_11_07_nb2_1_16	7	2	5	long	2	1	1	egal
28_11_07_nb2_2_16	0	0	0	null	7	5	2	court
29_11_07_nb1_2_16	2	2	0	court	16	6	10	long
29_11_07_nb2_1_16	4	4	0	court	4	0	4	long
29_11_07_nb2_2_16	7	7	0	court	2	0	2	long
30_11_07_nb1_1_16	9	5	4	court	6	0	6	long
30_11_07_nb1_2_16	4	2	2	egal	1	0	1	long
05_12_07_nb1_1_16	9	7	2	court	2	2	0	court
05_12_07_nb1_2_16	4	4	0	court	1	1	0	court
14_11_07_nb1_1_16	0	0	0	null	14	3	11	long
14_11_07_nb1_2_16	6	5	1	court	5	3	2	court
14_11_07_nb2_1_16	7	7	0	court	2	1	1	egal
14_11_07_nb2_2_16	4	3	1	court	7	4	3	court
16_11_07_nb1_1_16	3	3	0	court	5	4	1	court
16_11_07_nb1_2_16	6	5	1	court	1	1	0	court
16_11_07_nb2_1_16	2	2	0	court	0	0	0	null
16_11_07_nb2_2_16	1	1	0	court	7	3	4	long
20_11_07_nb1_1_16	1	0	1	long	6	3	3	egal
20_11_07_nb1_2_16	5	4	1	court	3	0	3	long
22_11_07_nb1_1_16	2	1	1	egal	6	0	6	long
22_11_07_nb1_2_16	1	1	0	court	5	5	0	court
22_11_07_nb2_1_16	1	1	0	court	2	2	0	court
22_11_07_nb2_2_16	3	3	0	court	4	2	2	egal
23_11_07_nb1_1_16	5	3	2	court	4	2	2	egal
23_11_07_nb1_2_16	5	4	1	court	3	2	1	court
03_12_07_nb1_1_16	7	6	1	court	2	0	2	long
03_12_07_nb1_2_16	3	3	0	court	8	6	2	court
04_12_07_nb1_1_16	1	1	0	court	6	1	5	long
04_12_07_nb1_2_16	3	2	1	court	1	0	1	long
04_12_07_nb2_1_16	6	2	4	long	2	0	2	long
04_12_07_nb2_2_16	8	6	2	court	3	3	0	court
04_12_07_nb3_1_16	6	3	3	egal	4	1	3	long
04_12_07_nb3_2_16	4	3	1	court	6	0	6	long
